Removing record number 1, with hm_code 15
Removing record number 2, with hm_code 15
Removing record number 3, with hm_code 15
Removing record number 4, with hm_code 15
Removing record number 5, with hm_code 15
Removing record number 6, with hm_code 15
Removing record number 7, with hm_code 15
Removing record number 8, with hm_code 15
Removing record number 9, with hm_code 15
Removing record number 10, with hm_code 15
Removing record number 11, with hm_code 15
Removing record number 12, with hm_code 15
Removing record number 13, with hm_code 15
Removing record number 14, with hm_code 15
Removing record number 15, with hm_code 15
Removing record number 16, with hm_code 15
Removing record number 17, with hm_code 15
Removing record number 18, with hm_code 15
Removing record number 19, with hm_code 15
Removing record number 20, with hm_code 15
Removing record number 21, with hm_code 15
Removing record number 22, with hm_code 15
Removing record number 23, with hm_code 15
Removing record number 24, with hm_code 15
Removing record number 25, with hm_code 15
Removing record number 26, with hm_code 15
Removing record number 27, with hm_code 15
Removing record number 28, with hm_code 15
Removing record number 29, with hm_code 15
Removing record number 30, with hm_code 15
Removing record number 31, with hm_code 15
Removing record number 32, with hm_code 15
Removing record number 33, with hm_code 15
Removing record number 34, with hm_code 15
Removing record number 35, with hm_code 15
Removing record number 36, with hm_code 15
Removing record number 37, with hm_code 15
Removing record number 38, with hm_code 15
Removing record number 39, with hm_code 15
Removing record number 40, with hm_code 15
Removing record number 41, with hm_code 15
Removing record number 42, with hm_code 15
Removing record number 43, with hm_code 15
Removing record number 44, with hm_code 15
Removing record number 45, with hm_code 15
Removing record number 46, with hm_code 15
Removing record number 47, with hm_code 15
Removing record number 48, with hm_code 15
Removing record number 49, with hm_code 15
Removing record number 50, with hm_code 15
Removing record number 51, with hm_code 15
Removing record number 52, with hm_code 15
Removing record number 53, with hm_code 15
Removing record number 54, with hm_code 15
Removing record number 55, with hm_code 15
Removing record number 56, with hm_code 15
Removing record number 57, with hm_code 15
Removing record number 58, with hm_code 15
Removing record number 59, with hm_code 15
Removing record number 60, with hm_code 15
Removing record number 61, with hm_code 15
Removing record number 62, with hm_code 15
Removing record number 63, with hm_code 15
Removing record number 64, with hm_code 15
Removing record number 65, with hm_code 15
Removing record number 66, with hm_code 15
Removing record number 67, with hm_code 15
Removing record number 68, with hm_code 15
Removing record number 69, with hm_code 15
Removing record number 70, with hm_code 15
Removing record number 71, with hm_code 15
Removing record number 72, with hm_code 15
Removing record number 73, with hm_code 15
Removing record number 74, with hm_code 15
Removing record number 75, with hm_code 15
Removing record number 76, with hm_code 15
Removing record number 77, with hm_code 15
Removing record number 78, with hm_code 15
Removing record number 79, with hm_code 15
Removing record number 80, with hm_code 15
Removing record number 81, with hm_code 15
Removing record number 82, with hm_code 15
Removing record number 83, with hm_code 15
Removing record number 84, with hm_code 15
Removing record number 85, with hm_code 15
Removing record number 86, with hm_code 15
Removing record number 87, with hm_code 15
Removing record number 88, with hm_code 15
Removing record number 89, with hm_code 15
Removing record number 90, with hm_code 15
Removing record number 91, with hm_code 15
Removing record number 92, with hm_code 15
Removing record number 93, with hm_code 15
Removing record number 94, with hm_code 15
Removing record number 95, with hm_code 15
Removing record number 96, with hm_code 15
Removing record number 97, with hm_code 15
Removing record number 98, with hm_code 15
Removing record number 99, with hm_code 15
Removing record number 100, with hm_code 15
Removing record number 101, with hm_code 15
Removing record number 102, with hm_code 15
Removing record number 103, with hm_code 15
Removing record number 104, with hm_code 15
Removing record number 105, with hm_code 15
Removing record number 106, with hm_code 15
Removing record number 107, with hm_code 15
Removing record number 108, with hm_code 15
Removing record number 109, with hm_code 15
Removing record number 110, with hm_code 15
Removing record number 111, with hm_code 15
Removing record number 112, with hm_code 15
Removing record number 113, with hm_code 15
Removing record number 114, with hm_code 15
Removing record number 115, with hm_code 15
Removing record number 116, with hm_code 15
Removing record number 117, with hm_code 15
Removing record number 118, with hm_code 15
Removing record number 119, with hm_code 15
Removing record number 120, with hm_code 15
Removing record number 121, with hm_code 15
Removing record number 122, with hm_code 15
Removing record number 123, with hm_code 15
Removing record number 124, with hm_code 15
Removing record number 125, with hm_code 15
Removing record number 126, with hm_code 15
Removing record number 127, with hm_code 15
Removing record number 128, with hm_code 15
Removing record number 129, with hm_code 15
Removing record number 130, with hm_code 15
Removing record number 131, with hm_code 15
Removing record number 132, with hm_code 15
Removing record number 133, with hm_code 15
Removing record number 134, with hm_code 15
Removing record number 135, with hm_code 15
Removing record number 136, with hm_code 15
Removing record number 137, with hm_code 15
Removing record number 138, with hm_code 15
Removing record number 139, with hm_code 15
Removing record number 140, with hm_code 15
Removing record number 141, with hm_code 15
Removing record number 142, with hm_code 15
Removing record number 143, with hm_code 15
Removing record number 144, with hm_code 15
Removing record number 145, with hm_code 15
Removing record number 146, with hm_code 15
Removing record number 147, with hm_code 15
Removing record number 148, with hm_code 15
Removing record number 149, with hm_code 15
Removing record number 150, with hm_code 15
Removing record number 151, with hm_code 15
Removing record number 152, with hm_code 15
Removing record number 153, with hm_code 15
Removing record number 154, with hm_code 15
Removing record number 155, with hm_code 15
Removing record number 156, with hm_code 15
Removing record number 157, with hm_code 15
Removing record number 158, with hm_code 15
Removing record number 159, with hm_code 15
Removing record number 160, with hm_code 15
Removing record number 161, with hm_code 15
Removing record number 162, with hm_code 15
Removing record number 163, with hm_code 15
Removing record number 164, with hm_code 15
Removing record number 165, with hm_code 15
Removing record number 166, with hm_code 15
Removing record number 167, with hm_code 15
Removing record number 168, with hm_code 15
Removing record number 169, with hm_code 15
Removing record number 170, with hm_code 15
Removing record number 171, with hm_code 15
Removing record number 172, with hm_code 15
Removing record number 173, with hm_code 15
